emp_no,first_name,last_name,title,from_date,salary
450549,Hyuckchul,Sudbeck,Senior Staff,2/19/1985,58302
490438,Kamran,Azadmanesh,Senior Engineer,2/19/1985,56311
45005,Tamiya,Blokdijk,Staff,2/20/1985,71230
74639,Heeju,Cooley,Technique Leader,2/20/1985,43157
218714,Tsuneo,Karlin,Staff,2/20/1985,82164
220563,Manu,Meszaros,Senior Engineer,2/20/1985,44776
289042,Ayakannu,Shimshoni,Engineer,2/20/1985,40000
422083,Fusako,Kowalchuk,Senior Staff,2/20/1985,53120
437830,Bezalel,Plotkin,Senior Staff,2/20/1985,74145
33585,Pasqua,Junot,Engineer,2/21/1985,40000
201246,Yucel,Marchesini,Senior Engineer,2/21/1985,40000
231811,Turgut,Lorcy,Engineer,2/21/1985,49481
24078,Sachem,Einsfeld,Staff,2/22/1985,62737
89885,Supot,Zumaque,Senior Engineer,2/22/1985,40000
101180,Subhada,Przulj,Senior Staff,2/22/1985,75117
422017,Deborah,Eiron,Senior Engineer,2/22/1985,61492
458729,Piyawadee,Parhami,Staff,2/22/1985,40000
469662,Adib,Shihab,Staff,2/22/1985,58932
67554,Xiaoheng,Bhattacharjee,Technique Leader,2/23/1985,41865
256689,Olivera,Braccini,Engineer,2/23/1985,40854
270658,Ewing,Beidas,Senior Engineer,2/23/1985,40000
279003,Chinhyun,Hofting,Senior Engineer,2/23/1985,40000
460108,Becky,Radhakrishnan,Engineer,2/23/1985,43599
477308,Alejandra,Brandsma,Senior Staff,2/23/1985,66022
88495,Wilmer,Molenaar,Senior Staff,2/24/1985,44248
101558,Wojceich,Tischendorf,Senior Engineer,2/24/1985,46986
222552,Shaowei,Deyuan,Senior Engineer,2/24/1985,66045
225323,Morrie,Sidhu,Senior Staff,2/24/1985,88201
242214,Cullen,Krupka,Senior Engineer,2/24/1985,40000
253260,Isaac,Capobianchi,Senior Staff,2/24/1985,40000
428213,Nahid,Rahimi,Engineer,2/24/1985,55656
465175,Phuoc,Heinisuo,Senior Engineer,2/24/1985,40386
19202,Tommaso,Munke,Staff,2/25/1985,72229
98236,Shen,Talmor,Senior Engineer,2/25/1985,54968
104411,Zengping,Desikan,Senior Staff,2/25/1985,40000
434113,Miyeon,Walston,Senior Staff,2/25/1985,44909
19454,Taisook,Hutter,Senior Staff,2/26/1985,40000
227069,Shigeichiro,Marshall,Senior Engineer,2/26/1985,66933
228018,Minghong,Beerel,Senior Staff,2/26/1985,40000
19901,Tsvetan,Stasinski,Senior Staff,2/27/1985,40000
34166,Naftali,Rahimi,Senior Engineer,2/27/1985,40000
44354,Basant,Garnier,Senior Engineer,2/27/1985,60932
51949,Pranav,Rosti,Senior Engineer,2/27/1985,50734
79183,Mingsen,Lamba,Senior Staff,2/27/1985,40000
91413,Ekawit,Asser,Senior Engineer,2/27/1985,40000
211427,Yechiam,Bala,Senior Staff,2/27/1985,40000
437295,Shao,Solovay,Senior Staff,2/27/1985,40000
451589,Angus,Naudin,Senior Staff,2/27/1985,62445
12025,Jaewoo,Heiserman,Staff,2/28/1985,62126
212171,Valdiodio,Greibach,Senior Engineer,2/28/1985,71987
408347,Masamitsu,Emmart,Senior Staff,2/28/1985,76518
449242,Basant,Chinen,Senior Staff,2/28/1985,79358
487284,Palash,Wuwongse,Staff,2/28/1985,62232
46814,Sergi,Kushnir,Engineer,3/1/1985,57092
208865,Nirmal,Taubenfeld,Senior Engineer,3/1/1985,66799
218879,Somnath,Irland,Senior Staff,3/1/1985,40000
298318,Navin,Pashtan,Technique Leader,3/1/1985,40000
409846,Kamran,Cherinka,Technique Leader,3/1/1985,55224
431033,Jahangir,Matzke,Engineer,3/1/1985,43979
443927,Geoffrey,Codenie,Senior Staff,3/1/1985,48966
481170,Ugo,Gustavson,Staff,3/1/1985,58571
65199,Ipke,Spataro,Senior Staff,3/2/1985,78239
265492,Mechthild,Baba,Technique Leader,3/2/1985,57415
274735,Noritoshi,Haldar,Senior Staff,3/2/1985,63733
432356,Yakichi,Viele,Technique Leader,3/2/1985,62681
34028,Heejo,Kieras,Senior Engineer,3/3/1985,51418
42708,Hitomi,Petereit,Senior Staff,3/3/1985,49449
97525,Shih,Krider,Technique Leader,3/3/1985,67590
263793,Shay,Mikschl,Engineer,3/3/1985,71407
266233,Larisa,Honiden,Engineer,3/3/1985,40000
449206,Shim,Pelz,Technique Leader,3/3/1985,40000
102515,Elvis,Quaggetto,Engineer,3/4/1985,40000
268309,Mrinalini,Hockney,Technique Leader,3/4/1985,55454
274833,Chikako,Krohm,Senior Engineer,3/4/1985,40000
426466,Bikash,Andreotta,Senior Staff,3/4/1985,47163
38566,Navin,Begiun,Technique Leader,3/5/1985,50783
47925,Angel,Kamble,Senior Staff,3/5/1985,74828
411270,Constantijn,Ghemri,Staff,3/5/1985,56736
475586,Nakhoon,Servi,Staff,3/5/1985,70122
498748,Doowon,Ananiadou,Senior Staff,3/5/1985,50089
68901,Aron,Gilg,Technique Leader,3/6/1985,40000
108524,Radhia,Chinal,Senior Engineer,3/6/1985,40000
277655,Kien,Setia,Technique Leader,3/6/1985,40000
462595,Mohamadou,Pramanik,Senior Staff,3/6/1985,40000
484087,Herb,Tagansky,Senior Staff,3/6/1985,79683
290311,Serif,Godskesen,Senior Staff,3/7/1985,47934
448781,Luigi,Heering,Senior Engineer,3/7/1985,61831
465207,Saddek,Moffat,Senior Staff,3/7/1985,52362
104940,Tze,Ciolek,Senior Staff,3/8/1985,50368
280941,Taisook,Furudate,Senior Engineer,3/8/1985,40000
286019,Fumiyo,Zeleznik,Engineer,3/8/1985,78658
39156,Gift,Pileggi,Senior Staff,3/9/1985,40000
242404,Kwee,Zumaque,Senior Engineer,3/9/1985,51891
406439,Bedir,Usery,Senior Staff,3/9/1985,55279
440507,Ramalingam,Yamaashi,Senior Engineer,3/9/1985,44050
13272,Arun,Jiang,Senior Staff,3/10/1985,40000
34599,Insup,Peltason,Senior Engineer,3/10/1985,66310
492835,Khaled,Khalil,Senior Staff,3/10/1985,48427
11949,Martijn,Harbusch,Technique Leader,3/11/1985,40000
20368,Denis,Samarati,Senior Staff,3/11/1985,40000
73911,Ziya,Syrotiuk,Senior Staff,3/11/1985,40000
276389,Van,Hofman,Staff,3/11/1985,64881
495518,Khosrow,Magalhaes,Technique Leader,3/11/1985,40590
47205,Valeri,Whittlesey,Technique Leader,3/12/1985,40569
79910,Gad,Honglei,Senior Staff,3/12/1985,77027
100845,Bezalel,Angelov,Assistant Engineer,3/12/1985,70698
234853,Insup,Szemeredi,Senior Engineer,3/12/1985,40000
22810,Lena,Shanbhogue,Engineer,3/13/1985,49175
36251,Kenroku,Seiwald,Senior Staff,3/13/1985,40000
54139,Tomoyuki,Budinsky,Senior Engineer,3/13/1985,40000
78039,Genki,Heemskerk,Senior Staff,3/13/1985,90551
84458,Toshiko,Molenkamp,Engineer,3/13/1985,48076
106007,Trygve,Ligten,Technique Leader,3/13/1985,68938
217624,Guadalupe,Rajaraman,Senior Staff,3/13/1985,40000
94313,Menkae,Birdsall,Senior Engineer,3/14/1985,40000
201153,Uwe,Hopewell,Engineer,3/14/1985,53567
203759,Heon,Reutenauer,Senior Staff,3/14/1985,58729
418271,Herb,Kandlur,Staff,3/14/1985,56834
433105,Leif,Cmelik,Senior Staff,3/14/1985,79436
445688,Gunilla,Carrere,Technique Leader,3/14/1985,40000
52167,Bernd,Copas,Technique Leader,3/15/1985,40000
108761,Nahid,Mandell,Technique Leader,3/15/1985,40000
240160,Abdelghani,Clouatre,Senior Engineer,3/15/1985,43851
289583,King,Rijsenbrij,Technique Leader,3/15/1985,47979
472203,Deborah,Brendel,Senior Staff,3/15/1985,55586
51995,Zhongwei,Roccetti,Senior Staff,3/16/1985,93409
281467,Gennady,Brandsma,Senior Staff,3/16/1985,40000
428140,Shir,Hennings,Staff,3/16/1985,76195
472064,Temple,Litecky,Senior Engineer,3/16/1985,48945
13124,Quingbo,Garnick,Senior Staff,3/17/1985,73785
261883,Froduald,Versino,Senior Engineer,3/17/1985,53780
287158,Falguni,Nilsson,Staff,3/17/1985,40000
411030,Slavian,Kulisch,Senior Engineer,3/17/1985,40000
496829,Shaleah,DeMori,Senior Staff,3/17/1985,88080
24251,Moto,Mondadori,Senior Staff,3/18/1985,56717
65803,Lijia,Michaeli,Senior Engineer,3/18/1985,40000
69226,Reinhold,Wursthorn,Senior Engineer,3/18/1985,40000
223603,Hitomi,Unni,Engineer,3/18/1985,67879
249339,Seongbin,Coors,Senior Engineer,3/18/1985,59037
17097,Cathie,Berztiss,Engineer,3/19/1985,46803
107540,Jaques,Soloway,Senior Staff,3/19/1985,56139
232508,Kankanahalli,Brickell,Senior Staff,3/19/1985,48048
462866,Babette,Ritcey,Technique Leader,3/19/1985,40000
13846,Guiseppe,Welham,Senior Staff,3/20/1985,61097
97666,Spyrose,Alencar,Senior Staff,3/20/1985,58336
268914,Barry,Alpin,Senior Engineer,3/20/1985,57288
459286,Oscar,Raczkowsky,Senior Engineer,3/20/1985,72502
20048,Moon,Mattern,Engineer,3/21/1985,45566
22693,Emran,Valiente,Senior Staff,3/21/1985,75385
66460,Xiaoheng,Antonisse,Technique Leader,3/21/1985,40000
100322,Janalee,Bahr,Senior Staff,3/21/1985,40000
105485,Magy,Danner,Technique Leader,3/21/1985,40000
231635,Billie,Kalafatis,Technique Leader,3/21/1985,40000
411615,Guther,Karlin,Senior Engineer,3/21/1985,55275
485746,Kristen,Katalagarianos,Staff,3/21/1985,40000
98478,Baruch,Heystek,Senior Engineer,3/22/1985,40000
105093,Lalit,Fontet,Senior Staff,3/22/1985,55151
213777,Heng,Bael,Engineer,3/22/1985,65473
430633,Margareta,Peek,Senior Staff,3/22/1985,54373
475841,Serenella,Krychniak,Staff,3/22/1985,56289
28604,Rafols,Kirkerud,Staff,3/23/1985,71276
62095,Katsuyuki,Erva,Engineer,3/23/1985,40000
62906,Alselm,McFarlin,Senior Staff,3/23/1985,66882
68596,Sergi,Penz,Senior Staff,3/23/1985,40000
226458,Lenore,Kruskal,Staff,3/23/1985,40010
240260,Fumiya,Herber,Senior Staff,3/23/1985,55067
257828,Kristin,Iisaka,Senior Staff,3/23/1985,40000
273322,Jaana,Lagarias,Senior Staff,3/23/1985,40000
279762,Rildo,Bael,Senior Staff,3/23/1985,72757
293010,Nathan,Verhoeff,Technique Leader,3/23/1985,65297
414832,Gladys,Heping,Assistant Engineer,3/23/1985,40000
443061,Masanao,Wegerle,Senior Engineer,3/23/1985,49152
460256,Constantine,Meriste,Senior Engineer,3/23/1985,40000
478496,Goncalo,Swick,Senior Engineer,3/23/1985,46734
41673,Armond,Matzel,Senior Engineer,3/24/1985,59816
250369,Roded,Bolotov,Senior Engineer,3/24/1985,66003
278413,Seshu,Fasbender,Technique Leader,3/24/1985,40662
475790,Honglan,Goldhammer,Senior Engineer,3/24/1985,60724
485540,Dines,Massonet,Staff,3/24/1985,53260
490531,Achilleas,Pavlopoulou,Senior Staff,3/24/1985,40000
495805,Susanne,Yoshizawa,Senior Engineer,3/24/1985,40178
12076,Karlis,Siprelle,Senior Staff,3/25/1985,75381
50103,Randy,Verspoor,Staff,3/25/1985,62346
272727,Adam,Shiratori,Technique Leader,3/25/1985,40000
446758,Chaitali,Peha,Senior Staff,3/25/1985,73807
472391,Mohammed,Simmel,Senior Staff,3/25/1985,40000
497984,Chinhyun,Schrooten,Technique Leader,3/25/1985,58682
499225,Constantijn,Dahlbom,Senior Staff,3/25/1985,40000
19653,Gay,Crooks,Technique Leader,3/26/1985,40000
42980,Karoline,Businaro,Staff,3/26/1985,88919
222660,Moriyoshi,Swiss,Senior Staff,3/26/1985,40000
284654,Becky,Decleir,Technique Leader,3/26/1985,52541
48577,Peternela,Piazza,Senior Staff,3/27/1985,64261
104498,Suvo,Cools,Engineer,3/27/1985,40000
272520,Shigehito,Gomatam,Technique Leader,3/27/1985,40000
437603,Poornachandra,Lemarechal,Senior Staff,3/27/1985,40000
448785,Mostafa,Terwilliger,Senior Engineer,3/27/1985,53832
454325,Shaw,Assaf,Staff,3/27/1985,42607
75984,Ulises,Ohori,Engineer,3/28/1985,43955
411539,Guangming,Pearson,Senior Engineer,3/28/1985,48536
422938,Shuho,Taneja,Senior Staff,3/28/1985,64405
440083,Heeju,Szemeredi,Senior Staff,3/28/1985,50940
12722,Elliott,Cheshire,Senior Staff,3/29/1985,62325
100206,Arumugam,Wrigley,Senior Engineer,3/29/1985,75261
233257,Mikhail,Waeselynck,Senior Staff,3/29/1985,86522
256648,Muzhong,Binkley,Senior Staff,3/29/1985,74697
263655,Florina,Stifter,Senior Staff,3/29/1985,40000
89531,Sachem,Boguraev,Technique Leader,3/30/1985,40000
208710,Faiza,Schmezko,Senior Engineer,3/30/1985,60554
223032,Alselm,Rodite,Senior Engineer,3/30/1985,71229
269627,Howell,Rullman,Technique Leader,3/30/1985,44361
459091,Aksel,Mitina,Senior Engineer,3/30/1985,58991
461615,Flemming,Borovoy,Senior Staff,3/30/1985,104903
53130,Anestis,Poupard,Senior Engineer,3/31/1985,71330
418632,Uri,Reistad,Senior Staff,3/31/1985,44607
491609,Heeju,Lundstrom,Staff,3/31/1985,51308
34857,Weicheng,Birrer,Senior Engineer,4/1/1985,64062
421754,Pasqua,Matzen,Senior Staff,4/1/1985,40000
444518,Uwe,Kaelbling,Senior Staff,4/1/1985,69208
20929,Along,Hebden,Senior Engineer,4/2/1985,40000
38824,Shounak,Rindone,Senior Engineer,4/2/1985,40000
41724,Faiza,Bage,Senior Staff,4/2/1985,49067
69112,Saddek,Crabtree,Senior Engineer,4/2/1985,57758
80198,Yefim,Anger,Senior Staff,4/2/1985,43274
91553,Arfst,Wendorf,Assistant Engineer,4/2/1985,54970
292966,Larisa,Lanphier,Senior Engineer,4/2/1985,48806
402006,Sverrir,Gecsei,Senior Engineer,4/2/1985,40000
406151,Uinam,Mahnke,Senior Engineer,4/2/1985,66809
448694,Constantijn,Luef,Senior Engineer,4/2/1985,41045
105441,Abdelghani,Haldar,Senior Staff,4/3/1985,77975
285289,Takanari,Bahl,Senior Staff,4/3/1985,54352
442659,Maja,Christianini,Senior Staff,4/3/1985,74581
55505,Kristen,Fabrizio,Technique Leader,4/4/1985,55660
61364,Gianluca,Casperson,Senior Engineer,4/4/1985,40000
73595,Nobuyoshi,Vandervoorde,Senior Staff,4/4/1985,45910
205272,Zhenbing,Kuhnemann,Senior Engineer,4/4/1985,40000
264935,Kristinn,Rissland,Senior Staff,4/4/1985,42087
267411,Gio,Aloia,Technique Leader,4/4/1985,62412
282705,Piyush,Pulkowski,Senior Engineer,4/5/1985,61997
472116,Jaroslava,Azevdeo,Senior Engineer,4/5/1985,48848
473475,Dinkar,Moffat,Senior Engineer,4/5/1985,64156
14118,Kasturi,Anido,Senior Staff,4/6/1985,46248
14345,Barry,Ramsey,Engineer,4/6/1985,61910
42389,Eric,Hinsberger,Technique Leader,4/6/1985,69138
87375,Ishfaq,Comyn,Assistant Engineer,4/6/1985,45122
90449,Anestis,Chinen,Senior Staff,4/6/1985,60125
95257,Shih,Ratzlaff,Technique Leader,4/6/1985,40000
249400,Honesty,Krider,Engineer,4/6/1985,40000
266821,Akeno,Cooke,Senior Staff,4/6/1985,61861
422447,Falguni,Peres,Technique Leader,4/6/1985,46295
454228,Lansing,Zlotek,Staff,4/6/1985,56102
495582,Subhankar,Varker,Engineer,4/6/1985,40000
79348,Mari,Gire,Technique Leader,4/7/1985,40000
201997,Aran,Baez,Senior Staff,4/7/1985,54263
221724,Tadanori,Neiman,Senior Staff,4/7/1985,52787
410758,Yoshimitsu,Snyers,Senior Staff,4/7/1985,40000
486378,Tuval,Leslie,Engineer,4/7/1985,58827
84427,IEEE,Valiente,Senior Engineer,4/8/1985,60946
415442,Udaiprakash,Passino,Technique Leader,4/8/1985,59582
12247,Subbu,Penttonen,Technique Leader,4/9/1985,59183
35748,Sangeeta,Falby,Senior Engineer,4/9/1985,40000
91217,Xuedong,Nilsson,Senior Staff,4/9/1985,56086
208842,Kien,Jansch,Senior Staff,4/9/1985,42213
222723,Shiv,Piveteau,Engineer,4/9/1985,40000
258969,Jungsoon,Brandsma,Senior Engineer,4/9/1985,40000
271605,Demin,Yemenis,Technique Leader,4/9/1985,62354
434143,Barna,Zhiwei,Technique Leader,4/9/1985,61316
451150,Hiroyasu,Greibach,Senior Staff,4/9/1985,41328
204292,Khaled,Argence,Senior Staff,4/10/1985,82607
204710,Gino,Cichocki,Senior Engineer,4/10/1985,69801
207792,Shir,Himler,Senior Engineer,4/10/1985,62550
412800,Goetz,Peha,Senior Staff,4/10/1985,54810
456816,Mountaz,Aumann,Assistant Engineer,4/10/1985,59988
37151,Leaf,Biros,Senior Engineer,4/11/1985,43944
281150,Masanao,Lichtner,Senior Staff,4/11/1985,87550
404998,Bedrich,Cannard,Senior Engineer,4/11/1985,50183
51622,Deniz,Casperson,Senior Engineer,4/12/1985,59715
56450,Atreye,Beidas,Senior Engineer,4/12/1985,40000
81810,Baruch,Schaap,Technique Leader,4/12/1985,48511
259929,Randy,Bahr,Technique Leader,4/12/1985,40000
34790,Uma,Krohn,Senior Staff,4/13/1985,40000
102828,Divine,Fadgyas,Staff,4/13/1985,40000
107279,Dannz,Oxenboll,Technique Leader,4/13/1985,48433
445633,Michaela,Barriga,Senior Engineer,4/13/1985,44115
452512,Jeong,Domenig,Senior Staff,4/13/1985,40000
464933,Alair,Kriebel,Technique Leader,4/13/1985,40000
41301,Shuichi,Cochrane,Senior Staff,4/14/1985,40000
260557,Vugranam,Mayerwieser,Engineer,4/14/1985,47556
269562,Shim,Henders,Technique Leader,4/14/1985,50979
289613,Khalil,Narahara,Senior Engineer,4/14/1985,40000
25084,Alenka,Jullig,Senior Engineer,4/15/1985,61168
69177,Shan,Marchegay,Technique Leader,4/15/1985,47059
70004,Shih,VanScheik,Senior Staff,4/15/1985,40000
105815,Jianhao,Schaaf,Staff,4/15/1985,51643
273981,Gunilla,Bratsberg,Senior Engineer,4/15/1985,49977
286143,Atreye,Botman,Senior Staff,4/15/1985,77505
460978,Tse,Coors,Technique Leader,4/15/1985,40000
39954,Rildo,Baek,Staff,4/16/1985,84752
86014,Maris,Zeilberger,Technique Leader,4/16/1985,46302
288452,Aria,Wrigley,Staff,4/16/1985,52185
497821,Zhonghua,Trelles,Technique Leader,4/16/1985,48227
243820,Chiranjit,Akaboshi,Senior Engineer,4/17/1985,59961
251839,Nahum,Munoz,Technique Leader,4/17/1985,58529
65344,Vatsa,Chandrasekhar,Staff,4/18/1985,72421
247541,Heejo,Bednarek,Senior Staff,4/18/1985,51582
296833,Naftaly,Lubachevsky,Senior Engineer,4/18/1985,66370
220322,Mariusz,Peir,Senior Engineer,4/19/1985,40000
282638,Sangeeta,DeMori,Senior Staff,4/19/1985,68549
401529,Edwin,Sambasivam,Senior Engineer,4/19/1985,58573
417073,Foong,Ecklund,Senior Engineer,4/19/1985,41111
444830,Rasikan,Koprowski,Senior Staff,4/19/1985,61837
31501,Martial,Penn,Senior Engineer,4/20/1985,40000
279691,Peternela,Lindenbaum,Senior Staff,4/20/1985,53724
417384,Mansur,Valtorta,Senior Staff,4/20/1985,40000
283027,Radoslaw,Parfitt,Senior Engineer,4/21/1985,52302
201714,Lokesh,Hinsberger,Senior Engineer,4/22/1985,40000
212758,Phule,Stasinski,Senior Engineer,4/22/1985,48546
221881,Subhash,Cyne,Senior Staff,4/22/1985,79504
239134,Moss,Magalhaes,Senior Staff,4/22/1985,52313
242736,Chikara,Masada,Staff,4/22/1985,66022
280759,Vitali,Brodal,Senior Staff,4/22/1985,41635
287901,Selwyn,Huxford,Senior Engineer,4/22/1985,66862
292117,Houman,Mungall,Technique Leader,4/22/1985,42511
444420,Gita,Ramsay,Senior Engineer,4/22/1985,40000
464871,Tze,Alameldin,Technique Leader,4/22/1985,40190
477030,Alois,Siksek,Technique Leader,4/22/1985,40000
84693,Owen,Rikino,Staff,4/23/1985,57857
102870,Marsal,Alpay,Senior Staff,4/23/1985,48805
218731,Youjian,Diderrich,Senior Staff,4/23/1985,83451
483842,Marjo,DiGiano,Senior Engineer,4/23/1985,40032
45331,Keung,Peot,Senior Engineer,4/24/1985,40000
49075,Ravishankar,Orlowska,Senior Engineer,4/24/1985,40000
217845,Deborah,Matheson,Technique Leader,4/24/1985,40000
253832,Jixiang,Foong,Technique Leader,4/24/1985,42277
290029,Vincent,Auria,Senior Engineer,4/24/1985,68396
291216,Satoru,Einsfeld,Senior Engineer,4/24/1985,48123
292671,DeForest,Granlund,Staff,4/24/1985,88246
299765,Filipe,Bain,Assistant Engineer,4/24/1985,40044
415892,Arvind,Munch,Staff,4/24/1985,42879
416032,Patricio,Schicker,Senior Staff,4/24/1985,82372
102757,Arno,Pardalos,Senior Engineer,4/25/1985,62091
213248,Along,Sudkamp,Senior Staff,4/25/1985,71821
241666,Mechthild,Tibblin,Senior Engineer,4/25/1985,40000
259029,Kensyu,Senzako,Assistant Engineer,4/25/1985,40000
291018,Roded,Bage,Technique Leader,4/25/1985,61712
404307,King,Lakshmanan,Senior Engineer,4/25/1985,40000
427650,Maya,Luck,Senior Engineer,4/25/1985,40000
20055,Hairong,Swiss,Senior Staff,4/26/1985,40000
52842,Ohad,Murtafg,Senior Staff,4/26/1985,40000
463155,Aemilian,Sabnani,Senior Engineer,4/26/1985,40000
494906,Qingxiang,Bisiani,Senior Staff,4/26/1985,40000
34644,Jixiang,Thibadeau,Senior Staff,4/27/1985,67298
87627,Alagu,Raoux,Senior Staff,4/27/1985,75290
272577,Mark,Glinert,Senior Engineer,4/27/1985,40000
449262,Woody,Slobodova,Senior Engineer,4/27/1985,66489
74154,Oscar,Foong,Staff,4/28/1985,88025
102823,Guadalupe,Schusler,Assistant Engineer,4/28/1985,51282
104858,Jiong,Isaak,Staff,4/28/1985,85538
232203,Shaowei,Pollock,Technique Leader,4/28/1985,40000
234253,Subhash,Staylopatis,Senior Staff,4/28/1985,76111
251618,Piyawadee,Chachaty,Technique Leader,4/28/1985,62749
279477,Moon,Kalsbeek,Senior Staff,4/28/1985,58962
412817,Niclas,Garnier,Senior Staff,4/28/1985,40000
479812,Fuqing,Staudhammer,Senior Staff,4/28/1985,75803
58457,Yuping,Delaune,Technique Leader,4/29/1985,64272
89030,Xinglin,Prochazka,Senior Engineer,4/29/1985,40000
283847,Fai,Barriga,Senior Staff,4/29/1985,67917
34051,Jordanka,Motley,Senior Engineer,5/1/1985,40000
34673,Unal,Pews,Senior Staff,5/1/1985,40000
97985,Dekang,Botman,Senior Engineer,5/1/1985,54124
104054,Uinam,Rothe,Senior Engineer,5/1/1985,51886
449293,Tua,Dehkordi,Senior Engineer,5/1/1985,49507
64072,Claude,Demri,Engineer,5/2/1985,54670
229418,Uri,Sanella,Senior Engineer,5/2/1985,40000
263462,Theron,Jarecki,Senior Staff,5/2/1985,40000
450328,Lenore,Pauthner,Senior Staff,5/2/1985,81369
468038,Saddek,Oppitz,Senior Engineer,5/2/1985,40000
46179,Houman,Marciano,Senior Staff,5/3/1985,54478
61093,Kokou,Rettelbach,Technique Leader,5/3/1985,60333
